OBJECTID	PDIV_ID	Af_used_2017	Af_used_irr_2017	Acres_2017	Af_used_mun_2017	Af_used_stk_2017	long_nad83	lat_nad83	county
9840	60218	0	0	0	0	0	-101.6546015	37.12690786	MT
9841	19168	84	84	78	0	0	-100.3010488	39.95659554	DC
9842	41048	13.41748222	13.41748222	105	0	0	-95.83072365	39.07929971	SN
9843	15306	416	416	272	0	0	-101.0037594	37.05579177	SW
9844	39358	0	0	0	0	0	-97.0536258	37.94057561	BU
9845	77007	0	0	0	0	0	-98.10123679	37.94916295	RN
9846	21383	138	138	240	0	0	-100.7469625	38.10494127	FI
9847	1270	0.141475705	0	0	0.141475705	0	-99.55475887	38.46790908	RH
9848	66115	80	80	115	0	0	-101.9627869	37.04051271	MT
9849	23691	0	0	0	0	0	-95.7013899	39.08780966	SN
9850	62081	12.43267628	12.43267628	33	0	0	-96.31980051	39.18163403	WB
9851	28392	0	0	0	0	0	-100.860517	39.07323564	LG
9852	4108	199.4408487	199.4408487	125	0	0	-99.24550952	37.79553616	ED
9853	25113	224	224	240	0	0	-101.5098537	39.61216728	CN
9854	15667	172	172	126	0	0	-99.55675907	38.21483159	PN
9855	32848	225	225	242	0	0	-101.1390565	37.32949702	SV
9856	68290	0.001334966	0	0	0	0	-97.59645316	38.88686203	SA
9857	9451	160	160	120	0	0	-101.9870868	39.20552159	SH
9858	68977	0	0	0	0	0	-97.36698295	37.67770419	SG
9859	76893	0	0	0	0	0	-95.51481458	39.9157984	BR
9860	45189	83.82358808	83.82358808	108	0	0	-98.12904592	38.22861866	RC
9861	18810	28	28	22	0	0	-100.2983711	38.91449983	GO
9862	29239	10	0	0	0	0	-97.71153941	38.48426761	MP
9863	64817	147	147	120	0	0	-101.5711384	37.27180359	MT
9864	16215	23.97107881	0	0	23.97107881	0	-97.38198029	37.83929202	SG
9865	14278	0	0	0	0	0	-97.73048501	37.99644144	RN
9866	14513	0	0	0	0	0	-95.24296017	38.98180186	DG
9867	49443	0	0	0	0	0	-99.23238597	38.46916616	RH
9868	30248	7.849599971	0	0	0	0	-98.38513068	37.95379447	RN
9869	12414	35.88449936	35.88449936	84	0	0	-98.5885246	38.00877451	SF
9870	39867	32	32	121	0	0	-101.1857864	37.37579885	SV
9871	67019	101.9947768	101.9947768	122	0	0	-97.43879365	38.30790895	MP
9872	30232	0	0	0	0	0	-100.6382141	39.62612411	DC
9873	7886	65.93443015	65.93443015	96	0	0	-99.49983691	37.84718763	ED
9874	25489	0	0	0	0	0	-100.155773	39.75142657	NT
9875	49052	582	582	375	0	0	-100.934089	37.3660908	SW
9876	9947	14.87336237	14.87336237	22	0	0	-101.281577	38.59027045	WH
9877	11018	140	140	204	0	0	-101.4013308	39.72634686	RA
9878	9137	0	0	0	0	0	-101.692128	37.98354865	HM
9879	186	0	0	0	0	0	-100.7532713	37.61963735	HS
9880	25422	119	119	120	0	0	-100.7678559	39.33067537	TH
9881	63066	3.024388447	0	0	0	3.024388447	-97.8036976	39.03034236	OT
9882	32003	0	0	0	0	0	-97.86707701	38.05883052	RN
9883	70063	0	0	0	0	0	-100.6294852	39.78873452	DC
9884	12170	0	0	0	0	0	-98.14689554	39.47398066	MC
9885	2771	6.638003259	0	0	6.638003259	0	-95.2815411	38.75138633	DG
9886	47557	132	132	120	0	0	-99.81590416	37.79796246	FO
9887	54537	0	0	0	0	0	-100.4883447	37.61003801	GY
9888	60406	0	0	0	0	0	-100.6326831	37.72190345	GY
9889	4974	0	0	0	0	0	-101.9710855	37.66220384	ST
9890	52011	86.67734639	86.67734639	60	0	0	-99.79687369	38.09248793	HG
9891	8775	218	218	160	0	0	-100.1240814	37.76053586	FO
9892	63435	1.222030928	1.222030928	124	0	0	-97.26655016	39.69586138	WS
9893	10111	144	144	133	0	0	-99.27277013	38.00376159	PN
9894	63018	0	0	0	0	0	-94.86296183	39.25583464	LV
9895	65383	0	0	0	0	0	-98.46459923	38.40818131	RC
