ET_KS,URBAN_KS,URBAN_FLT_KS,GRACE_KS,GW_KS,AGRI_KS,P_KS,SW_KS,ET_FLT_KS,GRACE_AVG_KS,YEAR
285.3,0.0,0.136967,-13.387167,0.0,0.41754717,340.26,0.19964078,285.3,-12.861089,2012
268.1,0.0,0.13977203,-13.387167,0.0,0.42973492,339.16,0.24213143,268.1,-12.861089,2012
259.1,0.0,0.13471687,-13.387167,0.0,0.43659,382.94,0.28610823,259.1,-12.861089,2012
323.2,0.0,0.12624931,-13.387167,0.0,0.43647626,397.01,0.329778,323.2,-12.861089,2012
281.9,0.0,0.12044526,-13.387167,0.0,0.42989838,414.12,0.37109107,281.9,-12.861089,2012
304.2,0.0,0.12314909,-13.387167,5.0403905,0.42013183,447.51,0.4082767,304.2,-12.861089,2012
354.9,0.0,0.13790442,-13.387167,0.0,0.41272923,456.85,0.439888,354.9,-12.861089,2012
282.9,0.0,0.16428114,-13.387167,0.0,0.41339177,424.46,0.46502537,282.9,-12.861089,2012
288.7,0.0,0.19736043,-13.387167,1.456061,0.42526796,411.98,0.48344886,288.7,-12.861089,2012
268.3,0.0,0.22892992,-13.387167,0.0,0.44707638,403.51,0.49559397,268.3,-12.861089,2012
240.8,0.0,0.25017622,-13.387167,0.0,0.4735868,390.56,0.5024775,240.8,-12.861089,2012
256.3,0.0,0.25476432,-13.387167,0.0,0.4983534,385.23,0.50550187,256.3,-12.861089,2012
302.2,0.0,0.24089038,-13.387167,0.0,0.5172409,381.61002,0.5061875,302.2,-12.861089,2012
273.6,0.0,0.21142793,-13.776094,0.0,0.5304987,365.4,0.5058825,273.6,-12.861089,2012
266.6,0.0,0.17245528,-13.776094,0.0,0.5422198,352.34,0.5055072,266.6,-12.861089,2012
268.4,0.0,0.13099803,-13.776094,0.0,0.5576773,359.46,0.505385,268.4,-12.861089,2012
250.7,0.0,0.093227565,-13.776094,6.4120607,0.58033115,373.17,0.50519025,250.7,-12.861089,2012
282.3,0.0,0.06343955,-13.776094,3.5841436,0.61027306,411.54,0.50401604,282.3,-12.861089,2012
336.0,0.0,0.043900806,-13.776094,17.586847,0.64460975,419.69,0.50054026,336.0,-12.861089,2012
290.0,0.0,0.03519857,-13.776094,0.0,0.67908925,438.47,0.49325526,290.0,-12.861089,2012
295.2,0.0,0.036597274,-13.776094,0.0,0.70976543,482.81,0.4807223,295.2,-12.861089,2012
325.1,0.0,0.046163328,-13.776094,0.0,0.7340039,499.33,0.4618193,325.1,-12.861089,2012
301.7,0.0,0.060780443,-13.776094,0.0,0.7505375,507.97,0.4359448,301.7,-12.861089,2012
307.0,0.0,0.07638415,-13.776094,0.0,0.7588489,516.82,0.40319225,307.0,-12.861089,2012
277.5,0.0,0.08870018,-13.776094,0.0,0.7580608,528.89,0.36436218,277.5,-12.861089,2012
274.4,0.0,0.0945095,-13.776094,0.0,0.7460196,579.94,0.3209478,274.4,-12.861089,2012
321.3,0.0,0.092778176,-13.776094,0.0,0.7192967,588.54,0.27492774,321.3,-12.861089,2012
314.1,0.0,0.08492589,-13.776094,0.0,0.67459995,628.44,0.22864962,314.1,-12.861089,2012
426.0,0.0,0.07401457,-13.776094,0.0,0.6110531,629.35004,0.18428363,426.0,-12.861089,2012
397.5,0.0,0.06312882,-13.776094,0.0,0.53195304,619.05,0.14373653,397.5,-12.861089,2012
215.8,0.0,0.023416117,-12.891837,5.739423,0.45389184,336.35,0.00044845897,215.8,-12.861089,2012
212.8,0.0,0.031252142,-12.891837,44.10035,0.4774925,320.57,0.0008544766,212.8,-12.861089,2012
204.1,0.0,0.039636914,-12.891837,87.62615,0.48550174,305.02,0.0015719221,204.1,-12.861089,2012
223.2,0.0,0.04609109,-12.891837,59.452244,0.4791125,310.77002,0.0027930515,223.2,-12.861089,2012
252.8,0.0,0.048507154,-12.891837,23.868711,0.46271133,324.66,0.0047951546,252.8,-12.861089,2012
