AGRI_KS,ET_KS,GRACE_Trend_KS,P_KS,SW_KS,URBAN_FLT_KS
0.1972397,1752.0,-346.2757,290.35,0.0,0.040257696
0.20587628,2487.0,-357.00702,424.19998,0.012452399,0.10388144
0.727029,2334.0,-361.9958,583.217,0.17096514,0.10086276
0.6226849,3177.0,-293.1137,700.21,0.422269,0.3159538
0.52421457,441.0,-419.35913,157.23999,0.0,0.052056275
0.6376848,2838.0,-320.67572,588.37,0.13626702,0.21847102
0.8932881,2522.0,-387.64905,462.2,0.2578243,0.22348404
0.5041535,458.0,-294.11075,144.69,0.02373471,0.089848846
0.71869797,809.0,-269.3217,320.57,0.0,0.06819487
0.51575404,2182.0,-376.82422,344.16998,0.27596226,0.12002181
0.7394438,2656.0,-370.42548,492.168,0.0002743898,0.022463419
0.5597196,2919.0,-241.49243,477.05,0.3909509,0.25561488
0.31118193,2491.0,-310.64453,447.68,0.16607094,0.112992175
0.34622446,1012.0,-237.32727,243.39,0.0,0.059911646
0.3723318,3685.0,-353.69125,599.91003,0.419682,0.22733611
0.59381956,2189.0,-413.40924,425.93,0.33473167,0.056071155
0.8291959,1510.0,-230.03015,234.14001,0.121257,0.11904842
0.76998806,3045.0,-186.82289,602.86,0.477178,0.06459036
0.439105,2486.0,-338.02228,429.62,0.1945323,0.25724283
0.7394312,2737.0,-131.23068,423.74,0.0019798253,0.11130127
0.6832957,4072.0,-128.15285,449.97,0.071769245,0.11847855
0.55102515,2728.0,-311.00467,547.73,0.40282622,0.1989796
0.39162388,2653.0,-201.52792,379.54,0.08703109,0.057569347
0.27116928,3045.0,-390.47763,659.814,0.18680313,0.12703206
0.8104192,2952.0,-118.40811,389.54,0.07858428,0.09104207
0.77183366,1619.0,-335.27618,483.33002,5.685019e-07,0.047775995
0.03895405,3711.0,-368.102,1018.07996,0.21080302,0.0019474546
0.7417595,2712.0,-461.4865,274.75,0.15830715,0.09648936
0.31064594,2923.0,-361.9958,547.765,0.0038145992,0.028308239
0.6602944,1302.0,-425.24097,363.89,0.0,0.07969785
0.326151,1572.0,-378.79828,435.604,0.0,0.03739441
0.33903044,1574.0,-273.48917,223.59,0.0,0.0076980907
0.5600682,2713.0,-395.39246,381.211,0.024450893,0.12543309
0.8278218,2009.0,-346.44556,632.828,0.0011780232,0.08651852
0.33166873,1931.0,-332.0178,339.19,0.0,0.04088203
0.7017166,3019.0,-261.50198,940.02997,0.58309084,0.12478772
0.7573991,2583.0,-203.59785,550.05,0.3010782,0.34605142
0.59778327,2194.0,-197.17755,339.15,0.33778107,0.103922
0.5491603,2406.0,-317.73572,389.23,0.00076229597,0.024043428
