ET_KS,URBAN_KS,URBAN_FLT_KS,GRACE_KS,GW_KS,AGRI_KS,P_KS,SW_KS,ET_FLT_KS,GRACE_AVG_KS,YEAR
190.7,0.0,0.04640422,1.0,0.0,0.6771699,320.36002,0.3447084,190.7,1.0,2012
168.2,0.0,0.060475335,1.0,0.0,0.6656055,338.96,0.31747904,168.2,1.0,2012
225.7,0.0,0.07312228,1.0,0.0,0.6412856,339.99,0.28612268,225.7,1.0,2012
151.3,0.0,0.0807253,1.0,0.0,0.6030628,349.86,0.25160375,151.3,1.0,2012
290.6,3.0,0.081096835,1.0,0.0,0.55119246,357.1,0.21531199,0.0,1.0,2012
115.7,0.0,0.024046913,1.0,0.0,0.301754,183.4,0.0043324986,115.7,1.0,2012
137.2,0.0,0.02175853,1.0,0.0,0.30265182,186.22,0.0071500014,137.2,1.0,2012
122.9,0.0,0.019837117,1.0,11.92034,0.30493572,190.31999,0.011436706,122.9,1.0,2012
120.8,0.0,0.020637799,1.0,5.4722724,0.3091439,201.41,0.017737884,120.8,1.0,2012
117.7,0.0,0.026395017,1.0,7.1379676,0.31487966,215.07,0.026686039,117.7,1.0,2012
134.7,0.0,0.03848788,1.0,5.1998186,0.32163838,257.8,0.038960375,134.7,1.0,2012
193.6,0.0,0.05673979,1.0,13.93159,0.32944325,270.15,0.05522013,193.6,1.0,2012
152.1,0.0,0.07901847,1.0,16.653776,0.33890575,250.37,0.076093026,152.1,1.0,2012
139.3,0.0,0.101424634,1.0,18.288862,0.3506629,248.83,0.10184356,139.3,1.0,2012
161.2,0.0,0.11940639,1.0,11.037352,0.3646829,249.64,0.13255301,161.2,1.0,2012
152.4,0.0,0.12938815,1.0,9.516649,0.37980884,221.63,0.1678766,152.4,1.0,2012
132.3,0.0,0.13026963,1.0,0.0,0.39380354,222.01001,0.20702823,132.3,1.0,2012
153.8,0.0,0.124171354,1.0,10.3484955,0.4039276,230.78,0.24878843,153.8,1.0,2012
133.1,0.0,0.11601428,1.0,0.0,0.40810832,227.04,0.29164478,133.1,1.0,2012
106.1,0.0,0.11222221,1.0,0.0,0.40633056,236.77,0.33368888,106.1,1.0,2012
175.8,0.0,0.11874652,1.0,0.0,0.4016239,267.28,0.37307513,175.8,1.0,2012
135.9,0.0,0.13887884,1.0,0.0,0.3997424,275.02,0.4080681,135.9,1.0,2012
140.3,0.0,0.17152022,1.0,0.0,0.4068962,249.23999,0.437289,140.3,1.0,2012
135.9,0.0,0.21076573,1.0,0.0,0.4266624,244.39,0.45989537,135.9,1.0,2012
152.4,3.0,0.24736746,1.0,0.0,0.45767358,247.25,0.47569183,0.0,1.0,2012
140.0,3.0,0.27174798,1.0,0.0,0.49389723,229.1,0.48514125,0.0,1.0,2012
117.2,3.0,0.27728486,1.0,0.0,0.5275249,225.59999,0.48926026,0.0,1.0,2012
123.5,3.0,0.26235396,1.0,0.0,0.55293936,214.47,0.4894106,0.0,1.0,2012
133.6,0.0,0.23032147,1.0,0.0,0.56926256,199.68001,0.4870241,133.6,1.0,2012
128.1,0.0,0.18785639,1.0,0.0,0.5801338,188.7,0.4833176,128.1,1.0,2012
130.2,0.0,0.14254819,1.0,0.0,0.5910545,186.89,0.47906187,130.2,1.0,2012
170.2,0.0,0.10102421,1.0,33.685238,0.60622716,186.37999,0.47444984,170.2,1.0,2012
153.9,0.0,0.06786093,1.0,0.0,0.62677467,200.43001,0.46908647,153.9,1.0,2012
199.3,0.0,0.045417268,1.0,0.0,0.6509291,206.01,0.46209225,199.3,1.0,2012
187.2,0.0,0.034217983,1.0,0.0,0.67543983,221.89,0.45229316,187.2,1.0,2012
149.1,0.0,0.0334441,1.0,0.0,0.6969591,263.01,0.43845788,149.1,1.0,2012
165.6,0.0,0.041214027,1.0,0.87973607,0.71274745,277.99,0.4195463,165.6,1.0,2012
164.4,0.0,0.054634638,1.0,0.0,0.7206795,312.81,0.39492774,164.4,1.0,2012
164.9,0.0,0.06990915,1.0,0.0,0.71903074,329.85,0.36456293,164.9,1.0,2012
198.7,0.0,0.08280906,1.0,0.0,0.70615596,331.54,0.32905227,198.7,1.0,2012
146.2,0.0,0.089754775,1.0,0.0,0.68033016,343.41,0.2896312,146.2,1.0,2012
155.7,0.0,0.08899582,1.0,0.0,0.6399194,343.43,0.24799748,155.7,1.0,2012
278.7,0.0,0.08119455,1.0,0.0,0.5841876,350.13,0.2061995,278.7,1.0,2012
230.0,0.0,0.069023594,1.0,0.0,0.5144756,354.91998,0.1661577,230.0,1.0,2012
123.3,0.0,0.029574959,1.0,44.051296,0.38490608,186.77,0.0011264815,123.3,1.0,2012
101.7,0.0,0.034651108,1.0,20.014397,0.38877708,185.74,0.0020206044,101.7,1.0,2012
113.5,0.0,0.03664449,1.0,0.0,0.38431242,184.55,0.003503491,113.5,1.0,2012
187.1,0.0,0.0351005,1.0,26.440588,0.37570783,186.29,0.0059614703,187.1,1.0,2012
104.3,0.0,0.031037387,1.0,21.763123,0.36691925,193.36,0.009714905,104.3,1.0,2012
120.3,0.0,0.026748223,1.0,27.716015,0.36048362,204.71,0.015336694,120.3,1.0,2012
112.8,0.0,0.025157101,1.0,15.259062,0.35730845,222.64,0.023465505,112.8,1.0,2012
126.4,0.0,0.028970711,1.0,0.0,0.35728496,225.04,0.03481157,126.4,1.0,2012
171.7,0.0,0.039868552,1.0,0.0,0.3601872,226.24,0.050095595,171.7,1.0,2012
138.3,0.0,0.0578279,1.0,0.0,0.36614075,260.37,0.06995889,138.3,1.0,2012
131.1,0.0,0.08075157,1.0,21.488897,0.3754531,226.07,0.09493851,131.1,1.0,2012
115.8,0.0,0.10465155,1.0,2.7716014,0.38799903,218.63,0.12509742,115.8,1.0,2012
142.2,0.0,0.12472067,1.0,0.0,0.40272197,217.31,0.16023389,142.2,1.0,2012
155.3,0.0,0.136967,1.0,0.0,0.41754717,205.72,0.19964078,155.3,1.0,2012
133.1,0.0,0.13977203,1.0,0.0,0.42973492,201.98,0.24213143,133.1,1.0,2012
134.0,0.0,0.13471687,1.0,0.0,0.43659,239.84,0.28610823,134.0,1.0,2012
161.1,0.0,0.12624931,1.0,0.0,0.43647626,249.92,0.329778,161.1,1.0,2012
144.9,0.0,0.12044526,1.0,0.0,0.42989838,261.33,0.37109107,144.9,1.0,2012
142.7,0.0,0.12314909,1.0,5.0403905,0.42013183,290.2,0.4082767,142.7,1.0,2012
184.2,0.0,0.13790442,1.0,0.0,0.41272923,289.34,0.439888,184.2,1.0,2012
143.8,0.0,0.16428114,1.0,0.0,0.41339177,238.03,0.46502537,143.8,1.0,2012
141.0,0.0,0.19736043,1.0,1.456061,0.42526796,222.58,0.48344886,141.0,1.0,2012
133.8,0.0,0.22892992,1.0,0.0,0.44707638,219.44,0.49559397,133.8,1.0,2012
109.9,0.0,0.25017622,1.0,0.0,0.4735868,218.95,0.5024775,109.9,1.0,2012
114.0,0.0,0.25476432,1.0,0.0,0.4983534,215.26001,0.50550187,114.0,1.0,2012
178.6,0.0,0.24089038,1.0,0.0,0.5172409,213.11,0.5061875,178.6,1.0,2012
166.0,0.0,0.21142793,1.0,0.0,0.5304987,195.63,0.5058825,166.0,1.0,2012
155.5,0.0,0.17245528,1.0,0.0,0.5422198,181.17,0.5055072,155.5,1.0,2012
156.3,0.0,0.13099803,1.0,0.0,0.5576773,181.45,0.505385,156.3,1.0,2012
140.1,0.0,0.093227565,1.0,6.4120607,0.58033115,187.63,0.50519025,140.1,1.0,2012
131.1,0.0,0.06343955,1.0,3.5841436,0.61027306,211.67,0.50401604,131.1,1.0,2012
164.7,0.0,0.043900806,1.0,17.586847,0.64460975,220.92,0.50054026,164.7,1.0,2012
158.5,0.0,0.03519857,1.0,0.0,0.67908925,238.19,0.49325526,158.5,1.0,2012
144.7,0.0,0.036597274,1.0,0.0,0.70976543,269.97,0.4807223,144.7,1.0,2012
144.0,0.0,0.046163328,1.0,0.0,0.7340039,278.16,0.4618193,144.0,1.0,2012
128.0,0.0,0.060780443,1.0,0.0,0.7505375,282.0,0.4359448,128.0,1.0,2012
158.2,0.0,0.07638415,1.0,0.0,0.7588489,288.21,0.40319225,158.2,1.0,2012
117.9,0.0,0.08870018,1.0,0.0,0.7580608,296.75,0.36436218,117.9,1.0,2012
164.2,0.0,0.0945095,1.0,0.0,0.7460196,320.69,0.3209478,164.2,1.0,2012
