OBJECTID	PDIV_ID	Af_used_2012	Af_used_irr_2012	Acres_2012	Af_used_mun_2012	Af_used_stk_2012	long_nad83	lat_nad83	county						
223	44986	0	0	0	0	0	-99.05166657	38.47786384	RH						
224	7623	0	0	0	0	0	-100.7579659	37.15433383	SW						
225	47935	82	82	40	0	0	-99.3492158	38.45248658	RH						
226	26105	171.8533931	171.8533931	135	0	0	-98.87098121	38.31171285	BT						
227	20353	421	421	122	0	0	-100.625293	37.47558387	GY						
228	26267	215	215	125	0	0	-101.5899958	39.69156545	CN						
229	5128	199	199	162	0	0	-101.0404688	38.52212125	SC						
230	8907	0	0	0	0	0	-101.6407554	38.66398252	GL						
231	43571	402	402	232	0	0	-101.1591175	37.34070596	SV						
232	14897	134.9104345	134.9104345	120	0	0	-99.07156997	38.48425184	RH						
233	46756	48.36259517	48.36259517	40	0	0	-101.065826	38.3213917	SC						
234	2622	13.36181261	0	0	0	13.36181261	-101.064776	38.32265169	SC						
235	14615	0	0	0	0	0	-101.1756907	37.10684127	SV						
236	46943	94.38056044	94.38056044	70	0	0	-99.27156557	38.46189526	RH						
237	41902	15.69950683	0	0	15.69950683	0	-99.90675671	38.43930983	NS						
238	12311	0	0	0	0	0	-99.56710774	39.9218038	PL						
239	2377	0	0	0	0	0	-100.6120324	39.41896458	SD						
240	54222	50	50	25	0	0	-99.5662647	39.92386882	PL						
241	44498	118	118	79	0	0	-99.54537577	38.2159355	PN						
242	25699	0	0	0	0	0	-97.85270257	37.43012853	KM						
243	3291	0	0	0	0	0	-100.5885217	37.66379342	GY						
244	53700	0	0	0	0	0	-101.2772405	37.94995425	KE						
245	35002	201.3333333	201.3333333	130	0	0	-99.05419669	37.9235306	ED						
246	37630	212	212	160	0	0	-99.56983252	38.20382178	PN						
247	14834	63.6155789	0	0	63.6155789	0	-100.3443519	37.29111256	ME						
248	31322	0	0	0	0	0	-101.2748675	38.56192327	WH						
249	42175	0	0	0	0	0	-101.2702234	38.55838642	WH						
250	41881	0	0	0	0	0	-100.9201892	38.08046308	FI						
251	54979	0	0	0	0	0	-101.3289078	38.49521617	WH						
252	23822	0	0	0	0	0	-96.40778602	39.1775062	RL						
253	53642	129.0987599	129.0987599	120	0	0	-101.42695	38.48849779	WH						
254	18257	0	0	0	0	0	-102.0376844	38.84226807	WA						
255	25133	267.0472087	267.0472087	328	0	0	-101.463021	38.49562725	WH						
256	17785	0	0	0	0	0	-100.9774397	37.21083625	SW						
257	37043	110	110	64	0	0	-99.74998312	38.28246638	NS						
258	21585	244.3333333	244.3333333	129	0	0	-98.96853855	38.46724163	BT						
259	42254	253	253	250	0	0	-101.300769	39.58782936	RA						
260	29471	0	0	0	0	0	-101.4699309	37.58371126	GT						
261	54927	296	296	125	0	0	-100.7921132	37.82595525	FI						
262	4970	27.37447484	0	0	27.37447484	0	-101.8801965	37.52102516	ST						
263	25301	65.46795928	0	0	65.46795928	0	-98.02669191	39.9606034	JW						
264	36196	0	0	0	0	0	-100.8480509	37.74738288	FI						
265	13966	220.3184891	220.3184891	115	0	0	-101.0302492	37.5303214	HS						
266	30476	91.42644951	91.42644951	83	0	0	-101.2936366	38.61340272	WH						
267	26523	353	353	122	0	0	-101.6122237	38.56676114	GL						
268	29924	22.27091523	0	0	22.27091523	0	-100.7004545	37.20167714	SW						
269	20911	0	0	0	0	0	-95.24239316	38.98387581	DG						
270	25382	278	278	100	0	0	-100.8505179	37.27316168	SW						
271	28265	149	149	125	0	0	-100.7897793	37.74047169	FI						
272	21431	0	0	0	0	0	-100.7593085	37.58370543	HS						
273	52879	0	0	0	0	0	-100.7073949	37.51100445	HS						
274	1009	0	0	0	0	0	-101.3732086	38.56088116	WH						
275	30891	0	0	0	0	0	-100.4965297	37.61945716	GY						
276	13244	0	0	0	0	0	-101.1609229	37.64165081	GT						
277	50819	16.15836686	16.15836686	45	0	0	-101.4107429	38.37862045	WH						
278	16113	0	0	0	0	0	-101.1543708	38.47749021	WH						
279	33101	0	0	0	0	0	-101.7554509	39.84460274	CN						
280	43087	67.69842658	67.69842658	56	0	0	-100.5330381	38.6334171	LE						
281	9461	87.08544703	87.08544703	66	0	0	-101.0545828	38.6309847	SC						
282	47312	437.8712356	437.8712356	332	0	0	-101.0545828	38.62725051	SC						
283	45856	0	0	0	0	0	-96.83085972	39.04380103	GE						
